symbol,name,list_date
920833.BJ,美心翼申,20231108
920826.BJ,盖世食品,20210112
920701.BJ,豪声电子,20230719
920694.BJ,中裕科技,20230424
920693.BJ,阿为特,20231027
920690.BJ,捷众科技,20240105
920689.BJ,克莱特,20220321
920685.BJ,新芝生物,20221010
920682.BJ,球冠电缆,20200727
920675.BJ,秉扬科技,20201228
002483.SZ,润邦股份,20100929
002482.SZ,广田集团,20100929
002481.SZ,双塔食品,20100921
002480.SZ,新筑股份,20100921
920679.BJ,前进科技,20231110
920670.BJ,数字人,20201208
920665.BJ,科强股份,20230926
920640.BJ,富士达,20200727
920639.BJ,晨光电缆,20220712
920634.BJ,新威凌,20221124
920627.BJ,力王股份,20230907
920608.BJ,丰安股份,20221216
920599.BJ,同力股份,20210222
920593.BJ,鼎智科技,20230413
920592.BJ,华信永道,20230710
920580.BJ,科创新材,20220513
920579.BJ,机科股份,20231130
920578.BJ,巨能股份,20230512
002479.SZ,富春环保,20100921
002478.SZ,常宝股份,20100921
002476.SZ,新叶股份,20100915
002475.SZ,立讯精密,20100915
002474.SZ,榕基软件,20100915
920576.BJ,天力复合,20230712
920575.BJ,*ST康乐,20230315
920571.BJ,国航远洋,20221215
920570.BJ,坤博精工,20231123
920566.BJ,梓橦宫,20210813
920564.BJ,天润科技,20220617
920556.BJ,雅达股份,20230317
920553.BJ,凯腾精工,20210806
920533.BJ,骏创科技,20220524
920527.BJ,夜光明,20221027
920526.BJ,凯华材料,20221222
920523.BJ,德瑞锂电,20210603
920522.BJ,纳科诺尔,20231116
920519.BJ,万德股份,20230915
920509.BJ,同惠电子,20210111
920508.BJ,殷图网联,20200727
002472.SZ,双环传动,20100910
920504.BJ,博迅生物,20230817
920496.BJ,许昌智能,20240126
920493.BJ,并行科技,20231101
920491.BJ,奥迪威,20220614
920489.BJ,佳先股份,20200727
920478.BJ,峆一药业,20230223
920476.BJ,海能技术,20221014
920475.BJ,三友科技,20200727
920471.BJ,美邦科技,20230525
920469.BJ,富恒新材,20230918
920455.BJ,汇隆活塞,20230621
002471.SZ,中超控股,20100910
002470.SZ,金正大,20100908
002469.SZ,三维化学,20100908
002467.SZ,二六三,20100908
002466.SZ,天齐锂业,20100831
002465.SZ,海格通信,20100831
002463.SZ,沪电股份,20100818
002462.SZ,嘉事堂,20100818
002461.SZ,珠江啤酒,20100818
002460.SZ,赣锋锂业,20100810
002459.SZ,晶澳科技,20100810
002458.SZ,益生股份,20100810
920454.BJ,同心传动,20211115
920445.BJ,龙竹科技,20200727
920438.BJ,戈碧迦,20240325
920436.BJ,大地电气,20211115
920433.BJ,大唐药业,20200727
920429.BJ,康比特,20221215
920427.BJ,华维设计,20210205
920425.BJ,乐创技术,20230130
920418.BJ,苏轴股份,20200727
920371.BJ,欧福蛋业,20230118
920278.BJ,鹿得医疗,20200727
920068.BJ,天工股份,20250513
920066.BJ,科拜尔,20241031
920062.BJ,科润智控,20220713
002457.SZ,青龙管业,20100803
002456.SZ,欧菲光,20100803
002455.SZ,百川股份,20100803
002454.SZ,松芝股份,20100720
002453.SZ,华软科技,20100720
002452.SZ,长高电气,20100720
920061.BJ,西磁科技,20231221
920060.BJ,万源通,20241119
920058.BJ,华洋赛车,20230810
920057.BJ,百甲科技,20230314
920056.BJ,能之光,20250822
920050.BJ,爱伦医疗,20260121
920047.BJ,诺思兰德,20201124
920046.BJ,亿能电力,20221013
688798.SH,艾为电子,20210816
688776.SH,国光电气,20210831
688772.SH,珠海冠宇,20211015
688728.SH,格科微,20210818
688727.SH,恒坤新材,20251118
002451.SZ,摩恩电气,20100720
002449.SZ,国星光电,20100716
002448.SZ,中原内配,20100716
002446.SZ,盛路通信,20100713
002445.SZ,中南文化,20100713
002444.SZ,巨星科技,20100713
002443.SZ,金洲管道,20100706
002442.SZ,龙星科技,20100706
688709.SH,成都华微,20240207
688708.SH,佳驰科技,20241205
688686.SH,奥普特,20201231
688677.SH,海泰新光,20210226
688676.SH,金盘科技,20210309
688671.SH,碧兴物联,20230809
688670.SH,金迪克,20210802
688669.SH,聚石化学,20210125
688629.SH,华丰科技,20230627
688628.SH,优利德,20210201
688627.SH,精智达,20230718
688625.SH,呈和科技,20210607
688623.SH,双元科技,20230608
688622.SH,*ST禾信,20210913
688621.SH,阳光诺和,20210621
688620.SH,安凯微,20230627
688571.SH,杭华股份,20201211
688570.SH,天玛智控,20230605
688569.SH,铁科轨道,20200831
688550.SH,瑞联新材,20200902
688523.SH,航天环宇,20230602
688522.SH,纳睿雷达,20230301
688521.SH,芯原股份,20200818
688520.SH,神州细胞,20200622
688505.SH,复旦张江,20200619
688502.SH,茂莱光学,20230309
688500.SH,慧辰股份,20200716
688485.SH,九州一轨,20230118
688433.SH,华曙高科,20230417
688432.SH,有研硅,20221110
688403.SH,汇成股份,20220818
688401.SH,路维光电,20220817
002441.SZ,众业达,20100706
002440.SZ,闰土股份,20100706
002439.SZ,启明星辰,20100623
688279.SH,峰岹科技,20220420
688256.SH,寒武纪,20200720
688252.SH,天德钰,20220927
688234.SH,天岳先进,20220112
688213.SH,思特威,20220520
688206.SH,概伦电子,20211228
688185.SH,康希诺,20200813
688176.SH,亚虹医药,20220107
688175.SH,高凌信息,20220315
688173.SH,希荻微,20220121
688172.SH,燕东微,20221216
688171.SH,纬德信息,20220127
688170.SH,德龙激光,20220429
688169.SH,石头科技,20200221
688168.SH,安博通,20190906
002438.SZ,江苏神通,20100623
002437.SZ,誉衡药业,20100623
002436.SZ,兴森科技,20100618
002434.SZ,万里扬,20100618
002432.SZ,九安医疗,20100610
688167.SH,炬光科技,20211224
688153.SH,唯捷创芯,20220412
688150.SH,莱特光电,20220318
688148.SH,芳源股份,20210806
688147.SH,微导纳米,20221223
688146.SH,中船特气,20230421
688143.SH,长盈通,20221212
688141.SH,杰华特,20221223
688120.SH,华海清科,20220608
688098.SH,申联生物,20191028
688095.SH,福昕软件,20200908
688093.SH,世华科技,20200930
688092.SH,爱科科技,20210319
688091.SH,上海谊众,20210909
688090.SH,瑞松科技,20200217
688089.SH,ST嘉必优,20191219
002431.SZ,ST棕榈,20100610
688088.SH,虹软科技,20190722
688076.SH,ST诺泰,20210520
688075.SH,安旭生物,20211118
688073.SH,毕得医药,20221011
688070.SH,纵横股份,20210210
688069.SH,德林海,20200722
688068.SH,热景生物,20190930
688061.SH,灿瑞科技,20221018
688053.SH,ST思科瑞,20220708
688052.SH,纳芯微,20220422
688051.SH,佳华科技,20200320
688050.SH,爱博医疗,20200729
688048.SH,长光华芯,20220401
688041.SH,海光信息,20220812
688029.SH,南微医学,20190722
002430.SZ,杭氧股份,20100610
002429.SZ,兆驰股份,20100610
002428.SZ,云南锗业,20100608
002426.SZ,胜利精密,20100608
688008.SH,澜起科技,20190722
688007.SH,光峰科技,20190722
688006.SH,杭可科技,20190722
688005.SH,容百科技,20190722
688004.SH,博汇科技,20200612
688003.SH,天准科技,20190722
688002.SH,睿创微纳,20190722
688001.SH,华兴源创,20190722
605598.SH,上海港湾,20210917
605589.SH,圣泉集团,20210810
605499.SH,东鹏饮料,20210527
605336.SH,*ST帅电,20201019
605333.SH,沪光股份,20200818
605319.SH,无锡振华,20210607
605318.SH,法狮龙,20200803
605305.SH,中际联合,20210506
605303.SH,园林股份,20210301
605300.SH,佳禾食品,20210430
605299.SH,舒华体育,20201215
605298.SH,必得科技,20210301
605296.SH,神农集团,20210528
605289.SH,罗曼股份,20210426
605288.SH,凯迪股份,20200601
605287.SH,德才股份,20210706
605286.SH,同力天启,20210322
605277.SH,新亚电子,20210106
605268.SH,王力安防,20210224
605266.SH,健之佳,20201201
605259.SH,绿田机械,20210615
605258.SH,协和电子,20201203
605255.SH,天普股份,20200825
605228.SH,神通科技,20210120
605222.SH,起帆电缆,20200731
605218.SH,伟时电子,20200928
002425.SZ,凯撒文化,20100608
605208.SH,永茂泰,20210308
605167.SH,利柏特,20210726
605162.SH,新中港,20210707
605158.SH,华达新材,20200805
605058.SH,澳弘电子,20201021
605055.SH,迎丰股份,20210129
605050.SH,福然德,20200924
605033.SH,美邦股份,20210916
605028.SH,世茂能源,20210712
605020.SH,永和股份,20210709
605018.SH,长华集团,20200929
605016.SH,百龙创园,20210421
002424.SZ,ST百灵,20100603
002423.SZ,中粮资本,20100603
002422.SZ,科伦药业,20100603
002420.SZ,毅昌科技,20100601
002419.SZ,天虹股份,20100601
002418.SZ,康盛股份,20100601
002416.SZ,爱施德,20100528
002415.SZ,海康威视,20100528
002414.SZ,高德红外,20100716
002413.SZ,雷科防务,20100528
605011.SH,杭州热电,20210630
605007.SH,五洲特纸,20201110
603992.SH,松霖科技,20190826
603989.SH,艾华集团,20150515
603988.SH,中电电机,20141104
603987.SH,康德莱,20161121
603986.SH,兆易创新,20160818
603985.SH,恒润股份,20170505
603982.SH,泉峰汽车,20190522
603977.SH,国泰集团,20161111
603956.SH,威派格,20190222
603955.SH,大千生态,20170310
603950.SH,长源东谷,20200526
603949.SH,雪龙集团,20200310
603948.SH,建业股份,20200302
603938.SH,三孚股份,20170628
002412.SZ,汉森制药,20100525
002410.SZ,广联达,20100525
603936.SH,博敏电子,20151209
603933.SH,睿能科技,20170706
603931.SH,格林达,20200819
603929.SH,亚翔集成,20161230
603928.SH,兴业股份,20161212
603927.SH,中科软,20190909
603922.SH,ST金鸿顺,20171023
603896.SH,寿仙谷,20170510
603889.SH,新澳股份,20141231
603876.SH,鼎胜新材,20180418
603868.SH,飞科电器,20160418
603867.SH,新化股份,20190627
603863.SH,松炀资源,20190621
603823.SH,百合花,20161220
603813.SH,原尚股份,20170918
603806.SH,福斯特,20140905
002408.SZ,齐翔腾达,20100518
002406.SZ,远东传动,20100518
603803.SH,瑞斯康达,20170420
603801.SH,志邦家居,20170630
603759.SH,海天股份,20210326
603758.SH,秦安股份,20170517
603757.SH,大元泵业,20170711
603755.SH,日辰股份,20190828
603739.SH,蔚蓝生物,20190116
603738.SH,泰晶科技,20160928
603733.SH,仙鹤股份,20180420
603730.SH,岱美股份,20170728
603722.SH,阿科力,20171025
603717.SH,天域生物,20170327
603698.SH,航天工程,20150128
603697.SH,有友食品,20190508
603690.SH,至纯科技,20170113
002405.SZ,四维图新,20100518
002404.SZ,嘉欣丝绸,20100511
002403.SZ,爱仕达,20100511
002402.SZ,和而泰,20100511
002401.SZ,中远海科,20100506
002400.SZ,省广集团,20100506
603693.SH,江苏新能,20180703
603688.SH,石英股份,20141031
603678.SH,火炬电子,20150126
603666.SH,亿嘉和,20180612
603663.SH,三祥新材,20160801
603660.SH,苏州科达,20161201
603659.SH,璞泰来,20171103
603658.SH,安图生物,20160901
603657.SH,春光科技,20180730
603656.SH,泰禾智能,20170321
603655.SH,朗博科技,20171229
603650.SH,彤程新材,20180627
603639.SH,海利尔,20170112
002399.SZ,海普瑞,20100506
002397.SZ,梦洁股份,20100429
002396.SZ,星网锐捷,20100623
002395.SZ,双象股份,20100429
002394.SZ,联发股份,20100423
002393.SZ,力生制药,20100423
002392.SZ,北京利尔,20100423
002391.SZ,长青股份,20100416
603638.SH,艾迪精密,20170120
603637.SH,镇海股份,20170208
603636.SH,南威软件,20141230
603633.SH,徕木股份,20161117
603629.SH,利通电子,20181224
603628.SH,清源股份,20170112
603616.SH,韩建河山,20150611
603601.SH,再升科技,20150122
603600.SH,永艺股份,20150123
603599.SH,广信股份,20150513
603598.SH,引力传媒,20150527
603596.SH,伯特利,20180427
603595.SH,ST东尼,20170712
603590.SH,康辰药业,20180827
603589.SH,口子窖,20150629
603588.SH,高能环境,20141229
603586.SH,金麒麟,20170406
002390.SZ,信邦制药,20100416
603583.SH,捷昌驱动,20180921
603580.SH,艾艾精工,20170525
603579.SH,荣泰健康,20170111
603578.SH,三星新材,20170306
603529.SH,爱玛科技,20210615
603516.SH,淳中科技,20180202
603511.SH,爱慕股份,20210531
603505.SH,金石资源,20170503
603501.SH,豪威集团,20170504
603500.SH,祥和实业,20170904
603499.SH,翔港科技,20171016
603496.SH,恒为科技,20170607
603466.SH,风语筑,20171020
603458.SH,勘设股份,20170809
603456.SH,九洲药业,20141010
603444.SH,吉比特,20170104
002389.SZ,航天彩虹,20100413
002388.SZ,新亚制程,20100413
603439.SH,三力制药,20200428
603429.SH,*ST集友,20170124
603421.SH,鼎信通讯,20161011
603416.SH,信捷电气,20161221
603409.SH,汇通控股,20250304
603408.SH,建霖家居,20200730
603406.SH,天富龙,20250808
603402.SH,陕西旅游,20260106
603385.SH,惠达卫浴,20170405
603383.SH,顶点软件,20170522
603382.SH,海阳科技,20250612
603381.SH,永臻股份,20240626
603370.SH,华新精科,20250905
603369.SH,今世缘,20140703
002387.SZ,维信诺,20100413
002386.SZ,天原股份,20100409
002385.SZ,大北农,20100409
002384.SZ,东山精密,20100409
002383.SZ,合众思壮,20100402
002382.SZ,蓝帆医疗,20100402
603366.SH,日出东方,20120521
603365.SH,水星家纺,20171120
603363.SH,傲农生物,20170926
603360.SH,百傲化学,20170206
603359.SH,*ST东珠,20170901
603358.SH,华达科技,20170125
603357.SH,设计总院,20170801
603356.SH,华菱精工,20180124
603338.SH,浙江鼎力,20150325
603327.SH,福蓉科技,20190523
603326.SH,我乐家居,20170616
603324.SH,盛剑科技,20210407
603322.SH,超讯科技,20160728
603318.SH,水发燃气,20150424
603316.SH,诚邦股份,20170619
603315.SH,福鞍股份,20150424
603313.SH,梦百合,20161013
603312.SH,西典新能,20240111
603311.SH,金海高科,20150518
603310.SH,巍华新材,20240814
603309.SH,维力医疗,20150302
603308.SH,应流股份,20140122
603296.SH,华勤技术,20230808
603291.SH,联合水务,20230327
603288.SH,海天味业,20140211
603285.SH,键邦股份,20240705
603282.SH,亚光股份,20230315
603281.SH,江瀚新材,20230131
603280.SH,南方路机,20221108
603279.SH,景津装备,20190729
603278.SH,大业股份,20171113
603277.SH,银都股份,20170911
603275.SH,众辰科技,20230823
002381.SZ,双箭股份,20100402
002380.SZ,科远智慧,20100331
002379.SZ,宏桥控股,20100331
603276.SH,恒兴新材,20230925
603273.SH,天元智能,20231023
603272.SH,*ST联翔,20220520
603271.SH,永杰新材,20250311
603270.SH,金帝股份,20230901
603269.SH,海鸥股份,20170517
603262.SH,技源集团,20250723
603259.SH,药明康德,20180508
603258.SH,电魂网络,20161026
603257.SH,中国瑞林,20250408
603256.SH,宏和科技,20190719
603255.SH,鼎际得,20220818
002378.SZ,章源钨业,20100331
002377.SZ,国创高新,20100323
002376.SZ,新北洋,20100323
002373.SZ,千方科技,20100318
002372.SZ,伟星新材,20100318
002371.SZ,北方华创,20100316
002370.SZ,亚太药业,20100316
002369.SZ,卓翼科技,20100316
002368.SZ,太极股份,20100312
002366.SZ,融发核电,20100312
603248.SH,锡华科技,20251223
603239.SH,浙江仙通,20161230
603237.SH,五芳斋,20220831
603236.SH,移远通信,20190716
603235.SH,天新药业,20220712
603233.SH,大参林,20170731
603232.SH,格尔软件,20170421
603231.SH,索宝蛋白,20231215
603230.SH,内蒙新华,20211224
603229.SH,奥翔药业,20170509
603228.SH,景旺电子,20170106
603227.SH,雪峰科技,20150515
603226.SH,菲林格尔,20170615
603225.SH,新凤鸣,20170418
603223.SH,恒通股份,20150630
002365.SZ,永安药业,20100305
002364.SZ,中恒电气,20100305
002363.SZ,隆基机械,20100305
002362.SZ,汉王科技,20100303
603222.SH,济民健康,20150217
603221.SH,爱丽家居,20200323
603220.SH,中贝通信,20181115
603219.SH,富佳股份,20211122
603218.SH,日月股份,20161228
603217.SH,元利科技,20190620
603207.SH,小方制药,20240826
603201.SH,常润股份,20220729
603200.SH,上海洗霸,20170601
603199.SH,九华旅游,20150326
603198.SH,迎驾贡酒,20150528
603197.SH,保隆科技,20170519
603196.SH,璞源材料,20170531
603195.SH,公牛集团,20200206
603194.SH,中力股份,20241224
603193.SH,润本股份,20231017
002361.SZ,神剑股份,20100303
002358.SZ,森源电气,20100210
603186.SH,华正新材,20170103
603185.SH,弘元绿能,20181228
603183.SH,建研院,20170905
603182.SH,嘉华股份,20220909
603181.SH,皇马科技,20170824
603180.SH,金牌家居,20170512
603179.SH,新泉股份,20170317
603178.SH,圣龙股份,20170328
603177.SH,德创环保,20170207
603176.SH,汇通集团,20211231
603175.SH,超颖电子,20251024
603173.SH,福斯达,20230130
603172.SH,万丰股份,20230510
002356.SZ,鹏飞绿能,20100209
002355.SZ,兴民智通,20100209
002354.SZ,天娱数科,20100209
002353.SZ,杰瑞股份,20100205
002352.SZ,顺丰控股,20100205
002351.SZ,漫步者,20100205
002350.SZ,北京科锐,20100203
603171.SH,税友股份,20210630
603170.SH,宝立食品,20220715
603169.SH,兰石重装,20141009
603168.SH,莎普爱思,20140702
603167.SH,渤海轮渡,20120906
603165.SH,荣晟环保,20170117
603163.SH,圣晖集成,20221013
603162.SH,海通发展,20230329
603160.SH,汇顶科技,20161017
002349.SZ,精华制药,20100203
002348.SZ,高乐股份,20100203
002347.SZ,泰尔股份,20100128
002346.SZ,柘中股份,20100128
002345.SZ,潮宏基,20100128
002344.SZ,海宁皮城,20100126
002343.SZ,慈文传媒,20100126
002342.SZ,巨力索具,20100126
002340.SZ,格林美,20100122
002339.SZ,积成电子,20100122
002338.SZ,奥普光电,20100115
002337.SZ,赛象科技,20100115
002333.SZ,罗普斯金,20100112
002332.SZ,仙琚制药,20100112
002331.SZ,皖通科技,20100106
002330.SZ,得利斯,20100106
603159.SH,上海亚虹,20160812
603150.SH,万朗磁塑,20220124
603139.SH,康惠股份,20170421
603138.SH,海量数据,20170306
603137.SH,恒尚节能,20230419
603136.SH,天目湖,20170927
603135.SH,中重科技,20230410
603132.SH,金徽股份,20220222
603131.SH,上海沪工,20160607
603130.SH,云中马,20221118
603128.SH,华贸物流,20120529
603127.SH,昭衍新药,20170825
603126.SH,中材节能,20140731
603125.SH,常青科技,20230410
603124.SH,江南新材,20250320
603123.SH,翠微股份,20120503
002329.SZ,皇氏集团,20100106
002328.SZ,新朋股份,20091230
603122.SH,合富中国,20220216
603121.SH,华培动力,20190111
603120.SH,肯特催化,20250416
603119.SH,浙江荣泰,20230801
603118.SH,共进股份,20150225
603117.SH,万林物流,20150629
603116.SH,红蜻蜓,20150629
603115.SH,海星股份,20190809
603106.SH,恒银科技,20170920
603102.SH,百合股份,20220125
603101.SH,汇嘉时代,20160506
603100.SH,川仪股份,20140805
603099.SH,长白山,20140822
603098.SH,森特股份,20161216
603097.SH,江苏华辰,20220512
002327.SZ,富安娜,20091230
002326.SZ,永太科技,20091222
002324.SZ,普利特,20091218
002323.SZ,*ST雅博,20091218
603096.SH,新经典,20170425
603095.SH,越剑智能,20200415
603093.SH,南华期货,20190830
603092.SH,德力佳,20251107
603091.SH,众鑫股份,20240920
603090.SH,宏盛股份,20160831
603089.SH,正裕工业,20170126
603088.SH,宁波精达,20141111
603087.SH,甘李药业,20200629
603086.SH,先达股份,20170511
603073.SH,彩蝶实业,20230316
002322.SZ,理工能科,20091218
002321.SZ,华英农业,20091216
002320.SZ,海峡股份,20091216
002319.SZ,乐通股份,20091211
002318.SZ,久立特材,20091211
002316.SZ,亚联发展,20091209
002314.SZ,南山控股,20091203
002313.SZ,日海智能,20091203
002312.SZ,川发龙蟒,20091203
002311.SZ,海大集团,20091127
002310.SZ,东方新能,20091127
603070.SH,万控智造,20220310
603069.SH,海汽集团,20160712
603067.SH,振华股份,20160913
603066.SH,音飞储存,20150611
603065.SH,宿迁联盛,20230321
603063.SH,禾望电气,20170728
603062.SH,麦加芯彩,20231107
603059.SH,倍加洁,20180302
603050.SH,科林电气,20170414
603039.SH,泛微网络,20170113
603038.SH,华立股份,20170116
603037.SH,凯众股份,20170120
603036.SH,如通股份,20161209
603033.SH,三维股份,20161207
002309.SZ,中利集团,20091127
002307.SZ,北新路桥,20091111
002306.SZ,ST云网,20091111
002305.SZ,*ST南置,20091106
002304.SZ,洋河股份,20091106
002303.SZ,美盈森,20091103
603035.SH,常熟汽饰,20170105
603032.SH,德新科技,20170105
603031.SH,安孚科技,20160822
603030.SH,全筑股份,20150320
603028.SH,赛福天,20160331
603027.SH,千禾味业,20160307
603026.SH,石大胜华,20150529
603018.SH,华设集团,20141013
603014.SH,威高血净,20250519
603012.SH,创力集团,20150320
002302.SZ,西部建设,20091103
002301.SZ,齐心集团,20091021
002300.SZ,太阳电缆,20091021
002298.SZ,中电鑫龙,20090929
002297.SZ,博云新材,20090929
002296.SZ,辉煌科技,20090929
002295.SZ,精艺股份,20090929
002294.SZ,信立泰,20090910
002292.SZ,奥飞娱乐,20090910
002291.SZ,遥望科技,20090903
002290.SZ,禾盛新材,20090903
002289.SZ,宇顺电子,20090903
603011.SH,合锻智能,20141107
603007.SH,顺景科技,20160826
603006.SH,联明股份,20140630
603005.SH,晶方科技,20140210
603004.SH,鼎龙科技,20231227
603002.SH,宏昌电子,20120518
601998.SH,中信银行,20070427
601996.SH,丰林集团,20110929
601995.SH,中金公司,20201102
601991.SH,大唐发电,20061220
601990.SH,南京证券,20180613
601988.SH,中国银行,20060705
002287.SZ,奇正藏药,20090828
002286.SZ,保龄宝,20090828
002285.SZ,世联行,20090828
002284.SZ,亚太股份,20090828
002282.SZ,博深股份,20090821
002281.SZ,光迅科技,20090821
002279.SZ,久其软件,20090811
002278.SZ,神开股份,20090811
002277.SZ,友阿股份,20090717
601975.SH,招商南油,20190108
601963.SH,重庆银行,20210205
601952.SH,苏垦农发,20170515
601949.SH,中国出版,20170821
601939.SH,建设银行,20070925
601921.SH,浙版传媒,20210723
601919.SH,中远海控,20070626
601916.SH,浙商银行,20191126
601908.SH,京运通,20110908
601901.SH,方正证券,20110810
601900.SH,南方传媒,20160215
601899.SH,紫金矿业,20080425
601898.SH,中煤能源,20080201
002276.SZ,万马股份,20090710
002275.SZ,桂林三金,20090710
002274.SZ,华昌化工,20080925
002273.SZ,水晶光电,20080919
002272.SZ,川润股份,20080919
002271.SZ,东方雨虹,20080910
002270.SZ,华明装备,20080905
601888.SH,中国中免,20091015
601882.SH,海天精工,20161107
601881.SH,中国银河,20170123
601878.SH,浙商证券,20170626
601877.SH,正泰电器,20100121
601872.SH,招商轮船,20061201
601865.SH,福莱特,20190215
002283.SZ,天润工业,20090821
002269.SZ,美邦服饰,20080828
002268.SZ,电科网安,20080811
002267.SZ,陕天然气,20080813
002266.SZ,浙富控股,20080806
002265.SZ,建设工业,20080806
002264.SZ,新华都,20080731
002263.SZ,大东南,20080728
002262.SZ,恩华药业,20080723
002261.SZ,拓维信息,20080723
002259.SZ,升达林业,20080716
002258.SZ,利尔化学,20080708
002256.SZ,兆新股份,20080625
002255.SZ,海陆重工,20080625
002254.SZ,泰和新材,20080625
002253.SZ,川大智胜,20080623
002252.SZ,上海莱士,20080623
002251.SZ,步步高,20080619
002249.SZ,大洋电机,20080619
601838.SH,成都银行,20180131
601828.SH,美凯龙,20180117
601827.SH,三峰环境,20200605
601818.SH,光大银行,20100818
601816.SH,京沪高铁,20200116
601811.SH,新华文轩,20160808
601808.SH,中海油服,20070928
601801.SH,皖新传媒,20100118
601789.SH,宁波建工,20110816
601788.SH,光大证券,20090818
601777.SH,千里科技,20101125
601718.SH,ST际华,20100816
002248.SZ,华东数控,20080612
002247.SZ,聚力文化,20080612
002246.SZ,北化股份,20080605
002245.SZ,蔚蓝锂芯,20080605
002244.SZ,滨江集团,20080529
002243.SZ,力合科创,20080528
002241.SZ,歌尔股份,20080522
002240.SZ,盛新锂能,20080523
601717.SH,中创智领,20100803
601702.SH,华峰铝业,20200907
601700.SH,风范股份,20110118
601699.SH,潞安环能,20060922
601678.SH,滨化股份,20100223
601677.SH,明泰铝业,20110919
601669.SH,中国电建,20111018
